"id","lfhotelid","agenthotelid","caption_en","caption_zh","picurl","picsize","source","picture_id","updatetime","pic_path","pic_filesize"
"3060141","55","78234","Coffee and/or coffee maker","咖啡和/或咖啡机","https://i.travelapi.com/lodging/1000000/80000/78300/78234/0a50cf42_t.jpg","70px","0","22023","26/5/2023 08:41:37",,
"3060142","55","78234","Bathroom","浴室","https://i.travelapi.com/lodging/1000000/80000/78300/78234/65d7c2c7_b.jpg","350px","0","23000","25/6/2023 17:26:59",,
"3060143","55","78234","Bathroom","浴室","https://i.travelapi.com/lodging/1000000/80000/78300/78234/65d7c2c7_z.jpg","1000px","0","23000","25/6/2023 17:26:59","/mnt/73_hotel_pic/Hong Kong SAR/Kowloon/78234/0/3060143.jpg","126.703"
"3060144","55","78234","Bathroom","浴室","https://i.travelapi.com/lodging/1000000/80000/78300/78234/65d7c2c7_t.jpg","70px","0","23000","25/6/2023 17:26:59",,
"3060145","55","78234","Indoor/outdoor pool","室内/室外游泳池","https://i.travelapi.com/lodging/1000000/80000/78300/78234/59b07e78_b.jpg","350px","0","30011","26/5/2023 08:41:37",,
"3060146","55","78234","Indoor/outdoor pool","室内/室外游泳池","https://i.travelapi.com/lodging/1000000/80000/78300/78234/59b07e78_z.jpg","1000px","0","30011","26/5/2023 08:41:37","/mnt/73_hotel_pic/Hong Kong SAR/Kowloon/78234/0/3060146.jpg","222.699"
"3060147","55","78234","Indoor/outdoor pool","室内/室外游泳池","https://i.travelapi.com/lodging/1000000/80000/78300/78234/59b07e78_t.jpg","70px","0","30011","26/5/2023 08:41:37",,
"3060148","55","78234","Fitness facility","健身设施","https://i.travelapi.com/hotels/1000000/80000/78300/78234/df85db92_b.jpg","350px","0","41000","14/7/2022 19:28:53",,
"3060149","55","78234","Fitness facility","健身设施","https://i.travelapi.com/hotels/1000000/80000/78300/78234/df85db92_z.jpg","1000px","0","41000","17/10/2022 13:45:46","/mnt/73_hotel_pic/Hong Kong SAR/Kowloon/78234/0/3060149.jpg","309.684"
"3060150","55","78234","Fitness facility","健身设施","https://i.travelapi.com/hotels/1000000/80000/78300/78234/df85db92_t.jpg","70px","0","41000","14/7/2022 19:28:53",,
"3060151","55","78234","Steam room","蒸汽房","https://i.travelapi.com/lodging/1000000/80000/78300/78234/9299ff88_b.jpg","350px","0","51005","26/5/2023 08:41:37",,
"3060152","55","78234","Steam room","蒸汽房","https://i.travelapi.com/lodging/1000000/80000/78300/78234/9299ff88_z.jpg","1000px","0","51005","26/5/2023 08:41:37","/mnt/73_hotel_pic/Hong Kong SAR/Kowloon/78234/0/3060152.jpg","121.807"
"3060153","55","78234","Steam room","蒸汽房","https://i.travelapi.com/lodging/1000000/80000/78300/78234/9299ff88_t.jpg","70px","0","51005","26/5/2023 08:41:37",,
"3060154","55","78234","Restaurant","餐厅","https://i.travelapi.com/lodging/1000000/80000/78300/78234/13ce65fc_b.jpg","350px","0","81003","25/6/2023 17:26:59",,
"3060155","55","78234","Restaurant","餐厅","https://i.travelapi.com/lodging/1000000/80000/78300/78234/13ce65fc_z.jpg","1000px","0","81003","25/6/2023 17:26:59","/mnt/73_hotel_pic/Hong Kong SAR/Kowloon/78234/0/3060155.jpg","206.506"
"3060156","55","78234","Restaurant","餐厅","https://i.travelapi.com/lodging/1000000/80000/78300/78234/13ce65fc_t.jpg","70px","0","81003","25/6/2023 17:26:59",,
"3060157","55","78234","Breakfast meal","早餐食物","https://i.travelapi.com/lodging/1000000/80000/78300/78234/550a0107_b.jpg","350px","0","81031","26/5/2023 08:41:37",,
"3060158","55","78234","Breakfast meal","早餐食物","https://i.travelapi.com/lodging/1000000/80000/78300/78234/550a0107_z.jpg","1000px","0","81031","26/5/2023 08:41:37","/mnt/73_hotel_pic/Hong Kong SAR/Kowloon/78234/0/3060158.jpg","298.138"
